ID,Start time,Completion time,What is your role in your organization? (Select the best answer),Which industry best describes your organization's primary sector? (Select the best answer),How long have you been working with AI technologies? (Select the best answer),Do you believe there is a need to enhance your organization's responsible AI framework to address the complexities of agentic AI? (Select the best answer),Which dimensions of your responsible AI framework do you perceive as most likely needing enhancement for agentic AI? (Select all that apply),Which of the following implementation techniques and technologies has your organization adopted to ensure agentic AI operates responsibly? (Select all that apply),How has the implementation of agentic AI influenced your organization's culture and practices? (Select all that apply),"In your view, what is the single most pressing challenge that organizations must address when developing or deploying agentic AI systems?","What do you think are the future trends in responsible AI, especially concerning agentic AI?",Our organization has a clear understanding of the differences between agentic AI and generative AI.,Our organization has effectively adapted its responsible AI framework to include agentic AI.,Our organization has a clear understanding of how agentic AI impacts our responsible AI policies and governance.,Implementing agentic AI has positively influenced our organization's ROI.,Calculating ROI for agentic AI projects remains a challenge for our organization.,Our organization sees a strong connection between responsible AI practices and financial performance.,Our organization is well-prepared to adapt to future advancements in responsible AI.
1,2-12-25 17:29:36,2-12-25 17:36:18,"Engineering & IT Leadership (CTOs, CIOs, VPs of AI/Tech) ","Finance & Banking (e.g., fintech, investment, insurance) ",3-5 years,Yes,Privacy and Data Protection Protocols;Safety and Security Standards;Ethical Guidelines;Transparency Measures;Accountability Mechanisms;,"Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Adoption of new technologies and tools;Increased focus on ethical considerations;,Security and privacy. How do you protect the privacy of consumers and their data.,I think there are a lot of concerns about workforce replacement and privacy. People will need to think about how to us agentic systems to scale without making them feel an overlord is watching them,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree
2,2-12-25 20:00:34,2-12-25 20:12:24,Management,"Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Yes,Ethical Guidelines;Transparency Measures;Accountability Mechanisms;Bias Mitigation Strategies;Privacy and Data Protection Protocols;Safety and Security Standards;Stakeholder Engagement Processes;,"Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Enhanced collaboration across departments;Adoption of new technologies and tools;,Ethics and Privacy,Decision making,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Neutral
3,2-12-25 20:38:29,2-12-25 20:45:31,"AI Developers & Engineers (applied AI, ML specialists) ","Energy & Utilities (e.g., oil & gas, renewables, power distribution) ",1-3 years,Yes,Safety and Security Standards;Stakeholder Engagement Processes;Transparency Measures;Accountability Mechanisms;,"Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Enhanced collaboration across departments;Adoption of new technologies and tools;,Guardrails on the system and understanding liability ,More transparency (example showing the reasoning process). Higher quality training data and better synthetic data. There will also be codes and regulations around physical AI. ,Disagree,Strongly disagree,Disagree,Neutral,Strongly Agree,Neutral,Disagree
4,2-12-25 21:03:33,2-12-25 21:07:21,"Engineering & IT Leadership (CTOs, CIOs, VPs of AI/Tech) ","Technology (e.g., AI/ML development, software, IT services) ",Less than 1 year,Yes,Privacy and Data Protection Protocols;Safety and Security Standards;Accountability Mechanisms;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Enhanced collaboration across departments;Greater emphasis on transparency and accountability;Adoption of new technologies and tools;Changes in decision-making processes;,Data protection and privacy,Don’t know,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree
5,2-13-25 6:57:27,2-13-25 7:02:56,On the sales/partner management side of the business.,"Technology (e.g., AI/ML development, software, IT services) ",1-3 years,Yes,Ethical Guidelines;Transparency Measures;Privacy and Data Protection Protocols;Safety and Security Standards;,"Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",Enhanced collaboration across departments;Adoption of new technologies and tools;,Security and data privacy is always top of mind when speaking about AI.  We need to ensure that systems are not storing sensitive information and we protect customers when using AI in software.  ,I am not as familiar with agenetic AI but overall AI is being used in all aspects of business and personal life.  It's a double edge sword as both a valuable tool and information hub.  I think we are at the early stages of being able to fully utilize it's ability to learn and help with daily tasks.  I think we will see more regulations in terms of data storage and usage at the enterprise level.  ,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree
6,2-13-25 12:52:07,2-13-25 12:55:20,Researcher,"Technology (e.g., AI/ML development, software, IT services) ",3-5 years,Yes,Stakeholder Engagement Processes;Accountability Mechanisms;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Increased focus on ethical considerations;Enhanced collaboration across departments;Greater emphasis on transparency and accountability;Adoption of new technologies and tools;,Handling privacy data for long-term memory storage ,Long-term memory storage,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree
7,2-13-25 14:09:10,2-13-25 14:14:36,"AI Developers & Engineers (applied AI, ML specialists) ","Technology (e.g., AI/ML development, software, IT services) ",Less than 1 year,Yes,Ethical Guidelines;Transparency Measures;Bias Mitigation Strategies;Privacy and Data Protection Protocols;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);",No significant impact;,Data Protection ,Do a list of jobs in a serial manner and thereby not missing anything or having unnecessary delays ,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree
8,2-13-25 8:24:43,2-13-25 16:09:57,"AI Developers & Engineers (applied AI, ML specialists) ","Finance & Banking (e.g., fintech, investment, insurance) ",5-10 years,Yes,Transparency Measures;Accountability Mechanisms;Bias Mitigation Strategies;Stakeholder Engagement Processes;,,,"integrations between systems, process definition and improvement ahead of applying technology",transparency around decision making,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree
9,2-14-25 7:21:23,2-14-25 7:34:34,"Legal, Compliance & Governance Professionals (AI risk, regulatory affairs) ","Academia & Research (e.g., universities, think tanks, research institutions) ",3-5 years,Yes,Accountability Mechanisms;Privacy and Data Protection Protocols;Transparency Measures;,"Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Greater emphasis on transparency and accountability;Adoption of new technologies and tools;Enhanced collaboration across departments;,"Our company has accumulated decades of data, a valuable asset for developing advanced AI systems. However, this extensive data may contain inherent biases that can affect the performance and fairness of our AI models. One of our biggest challenges with implementing AI systems is addressing and mitigating these biases to ensure our AI solutions are accurate, equitable, and reliable. By recognizing and actively working to reduce bias, we can harness the full potential of our data while maintaining ethical standards and promoting fairness in our AI-driven decisions.","I'm concerned that agentic AI decisions replace human decision-making, leading us to rely too heavily on generative AI systems for essential choices. This shift raises ethical and practical questions about how much we should depend on AI for critical decisions. While AI can analyze vast amounts of data and offer insights quickly and accurately, it doesn't have the nuanced understanding and ethical considerations humans bring. If we rely too much on AI, we may lose our sense of agency, accountability, and the ability to make context-sensitive judgments. Finding a balance where AI supports and enhances our decision-making rather than taking over completely is essential.",Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral
10,2-14-25 9:45:47,2-14-25 13:27:32,"AI Consultants & Advisors (ethics, strategy, policy) ","Technology (e.g., AI/ML development, software, IT services) ",5-10 years,Yes,Ethical Guidelines;Transparency Measures;Accountability Mechanisms;Bias Mitigation Strategies;Privacy and Data Protection Protocols;Safety and Security Standards;Stakeholder Engagement Processes;,"Monitoring and Evaluation (Continuous Monitoring Tools, Regular Ethical Audits, Robust Model Validation Processes, ...);Human Oversight and Interaction (Human-in-the-Loop Systems, User Feedback Mechanisms, …);Skills Development and Learning (Technical AI Skills Training, Responsible AI Skills Training, Data Governance and Management Skills Training, Ethics Training Programs, …);Data Protection and Privacy (Data Protection Technologies, Privacy and Data Protection Protocols, …);Transparency and Explainability (Explainability and Transparency Tools, Transparency Reports, ...);Ethical Decision-Making (Ethical Decision-Making Frameworks, Morality Code Integration, …);Bias and Fairness (Bias Detection and Mitigation Algorithms, Diverse Data Sourcing, …);Integrated Development Practices (Cross-Functional Development Teams, Stakeholder Engagement Processes, Using New Design Patterns, …);",Adoption of new technologies and tools;Improved training and development programs;Greater emphasis on transparency and accountability;Increased focus on ethical considerations;,Making sure that the guardrails they have in place meet the intensified and new risks that arise specifically through the autonomy that agentic AI systems bring. ,Regulations will need to be updated / enhanced to account for the additional areas for potential failure that are specific to agentic AI. ,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree
